,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
*Error*,3.404e-01,3.985e-01,3.483e-01,3.657e-01,4.122e-01,3.491e-01,3.437e-01,4.076e-01,3.969e-01,3.963e-01,3.536e-01,3.455e-01,3.543e-01,3.368e-01,3.544e-01,3.475e-01,3.571e-01,3.807e-01,4.170e-01,4.044e-01,3.988e-01,3.471e-01,3.899e-01,4.012e-01,4.190e-01,3.725e-01,3.612e-01,3.739e-01,3.586e-01,4.109e-01,3.447e-01,3.670e-01,4.149e-01,3.545e-01,3.621e-01,4.170e-01,3.468e-01,3.445e-01,3.744e-01,3.968e-01,3.855e-01,3.518e-01,3.475e-01,4.118e-01,3.713e-01,3.087e-01,3.618e-01,3.410e-01,3.588e-01,3.737e-01
V1,2.035e-01,4.106e-01,7.852e-02,2.859e-01,1.544e-01,1.447e-01,3.496e-01,2.937e-01,2.351e-01,2.634e-01,3.061e-01,1.660e-01,2.803e-01,2.482e-01,4.564e-02,2.040e-01,4.748e-01,1.836e-01,1.906e-01,4.573e-01,2.271e-01,3.106e-01,1.734e-01,2.101e-01,2.325e-01,2.172e-01,1.469e-01,3.855e-01,1.803e-01,3.370e-01,3.020e-01,1.913e-01,2.209e-01,3.898e-01,6.063e-02,2.473e-01,2.034e-01,2.998e-01,2.093e-01,1.643e-01,1.431e-01,8.095e-01,1.287e-01,1.415e-01,2.518e-01,1.009e-01,2.568e-01,3.063e-01,3.121e-01,3.826e-01
Km1,9.701e+02,1.389e+03,4.503e+02,5.997e+02,4.749e+02,3.476e+02,8.572e+02,3.583e+02,8.746e+02,8.853e+02,5.787e+02,7.949e+02,6.310e+02,4.785e+02,1.059e+03,9.933e+02,8.607e+02,6.048e+02,2.829e+02,5.115e+02,4.094e+02,9.686e+02,3.128e+02,2.282e+02,4.655e+02,6.195e+02,5.382e+02,5.636e+02,3.489e+02,6.201e+02,6.044e+02,4.876e+02,1.955e+02,1.945e+03,3.880e+02,3.703e+02,1.102e+03,7.038e+02,4.314e+02,4.971e+02,4.484e+02,2.350e+03,2.610e+02,6.478e+02,8.345e+02,3.523e+02,6.131e+02,8.238e+02,5.832e+02,1.400e+03
V5,3.147e+01,1.284e+01,2.133e+01,2.512e+01,1.450e+01,2.258e+01,1.924e+01,1.993e+01,1.411e+01,1.881e+01,2.184e+01,3.137e+01,1.303e+01,1.821e+01,2.300e+01,1.962e+01,1.735e+01,2.136e+01,1.895e+01,1.783e+01,1.816e+01,2.006e+01,1.994e+01,1.546e+01,3.876e+01,1.849e+01,2.006e+01,2.725e+01,2.389e+01,2.630e+01,1.808e+01,2.400e+01,1.632e+01,2.211e+01,1.901e+01,2.158e+01,2.017e+01,4.187e+01,1.585e+01,3.234e+01,3.518e+01,2.699e+01,2.185e+01,2.335e+01,3.041e+01,2.154e+01,3.071e+01,2.367e+01,2.543e+01,1.705e+01
Km5,3.300e+01,2.287e+01,3.684e+01,5.744e+01,5.547e+01,5.825e+01,2.848e+01,3.483e+01,8.276e+01,6.096e+01,3.598e+01,5.405e+01,6.121e+01,7.340e+01,5.618e+01,1.125e+02,2.399e+01,3.035e+01,4.582e+01,4.519e+01,2.260e+01,3.010e+01,3.936e+01,2.518e+01,5.647e+01,4.061e+01,1.228e+02,1.028e+02,4.539e+01,1.052e+02,1.640e+01,4.126e+01,4.428e+01,8.369e+01,4.235e+01,6.485e+01,1.157e+01,6.445e+01,2.356e+01,6.969e+01,6.794e+01,1.627e+01,3.167e+01,5.401e+01,5.259e+01,4.474e+01,7.544e+01,3.557e+01,1.142e+01,5.767e+01
V10,2.274e+01,6.728e+01,3.361e+01,2.265e+01,5.902e+01,4.157e+01,3.473e+01,5.023e+01,7.482e+01,8.010e+01,3.958e+01,2.432e+01,7.926e+01,2.956e+01,4.003e+01,2.292e+01,2.718e+01,4.778e+01,1.649e+01,3.631e+01,1.668e+01,8.580e+01,1.150e+01,3.471e+01,4.747e+01,1.553e+01,2.081e+01,1.138e+02,1.734e+02,1.929e+01,3.038e+01,3.673e+01,5.885e+01,9.786e+01,1.103e+01,2.093e+01,1.070e+01,4.388e+01,3.226e+01,5.407e+01,2.785e+01,4.653e+01,2.348e+01,3.443e+01,4.642e+01,2.267e+01,2.097e+01,4.172e+01,3.617e+00,3.845e+01
Km10,5.658e+01,9.388e+01,2.071e+02,1.681e+02,2.321e+02,1.205e+02,2.411e+02,2.987e+02,5.726e+02,3.062e+02,1.610e+02,6.513e+01,3.283e+02,2.512e+02,3.482e+02,2.072e+02,1.336e+02,1.192e+02,4.076e+02,1.022e+02,3.686e+02,1.759e+02,1.189e+02,2.176e+02,1.264e+02,1.620e+02,3.983e+02,1.016e+02,1.577e+02,1.106e+02,9.436e+01,1.134e+02,8.073e+01,1.744e+02,5.311e+01,2.326e+02,4.108e+01,1.044e+02,1.439e+02,2.265e+02,7.051e+01,7.149e+02,1.293e+02,1.599e+02,1.563e+02,2.343e+02,7.513e+01,1.082e+02,2.634e+01,3.339e+02
n10,2.470e+00,2.837e+00,1.926e+00,2.473e+00,1.827e+00,2.366e+00,1.711e+00,1.682e+00,1.307e+00,1.283e+00,1.810e+00,1.919e+00,1.956e+00,1.973e+00,1.394e+00,1.082e+00,1.840e+00,1.589e+00,1.833e+00,1.953e+00,1.060e+00,1.616e+00,1.724e+00,1.626e+00,1.577e+00,2.083e+00,1.399e+00,2.956e+00,1.460e+00,2.196e+00,1.923e+00,2.352e+00,1.585e+00,2.149e+00,1.898e+00,2.145e+00,2.158e+00,1.287e+00,1.766e+00,1.997e+00,1.996e+00,1.805e+00,1.766e+00,2.498e+00,1.586e+00,2.132e+00,1.873e+00,2.663e+00,3.256e+00,2.189e+00
p11,1.254e-04,6.858e-05,8.688e-05,4.734e-05,1.156e-04,1.508e-04,1.223e-04,6.222e-05,6.124e-05,1.314e-04,5.964e-05,1.361e-04,8.955e-05,9.331e-05,2.679e-04,5.599e-04,8.695e-05,9.635e-05,1.726e-04,1.497e-04,1.613e-04,1.285e-04,2.674e-04,1.699e-04,9.864e-05,1.062e-04,3.392e-04,7.202e-05,8.367e-05,1.691e-04,1.206e-04,8.537e-05,1.727e-04,1.909e-04,1.422e-04,1.080e-04,1.483e-04,4.006e-04,1.286e-04,8.511e-05,1.463e-04,7.680e-05,8.763e-05,3.316e-05,8.543e-05,8.662e-05,2.570e-04,1.271e-04,1.412e-04,8.836e-05
p12,2.955e-03,1.235e-02,3.062e-03,6.731e-03,7.770e-03,1.563e-02,4.111e-03,3.341e-03,2.691e-03,6.717e-03,5.552e-03,1.497e-02,1.075e-02,5.306e-03,3.170e-03,2.389e-03,4.986e-03,7.632e-03,3.711e-03,3.425e-03,1.951e-03,4.381e-03,4.820e-03,5.426e-03,4.638e-03,5.731e-03,7.131e-03,4.154e-03,1.497e-02,4.660e-03,2.376e-03,3.422e-03,9.394e-03,1.148e-02,3.237e-03,5.282e-03,6.573e-03,2.394e-03,4.749e-03,5.920e-03,5.352e-03,1.380e-03,5.512e-03,9.878e-03,9.534e-03,3.425e-03,3.278e-03,3.063e-03,5.645e-03,2.590e-02
