,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
p13,3.616e-03,1.373e-03,1.136e-03,2.574e-03,1.372e-03,6.776e-04,6.661e-04,8.441e-04,1.557e-03,1.139e-03,2.114e-03,1.513e-03,1.970e-03,1.616e-03,8.408e-04,5.963e-04,1.577e-03,1.091e-03,8.701e-04,6.863e-04,1.271e-03,4.265e-04,9.979e-04,1.265e-03,1.236e-03,2.673e-03,1.205e-03,3.364e-03,1.022e-03,2.017e-03,5.961e-04,1.362e-03,1.268e-03,4.437e-04,3.513e-03,1.929e-03,1.314e-03,5.821e-04,1.210e-03,9.450e-03,1.331e-03,6.447e-04,2.604e-03,6.606e-03,2.563e-03,4.774e-03,4.453e-04,1.258e-03,3.097e-03,2.464e-03
V14,8.320e+00,4.651e+00,4.387e+00,2.770e+00,1.132e+01,4.728e+00,3.466e+00,1.313e+00,1.286e+00,9.775e+00,6.334e+00,9.215e+00,2.678e+00,4.561e+00,6.987e+00,2.675e+00,6.871e+00,3.870e+00,5.355e+00,6.757e+00,4.019e+00,2.583e+00,3.723e+00,3.384e+00,5.881e+00,1.694e+00,9.247e+00,1.647e+00,6.276e+00,5.555e+00,4.502e+00,2.149e+00,2.234e+00,1.761e+01,2.946e+00,1.142e+01,4.516e+00,1.065e+01,4.135e+00,2.507e+01,7.199e+00,3.649e+01,6.521e+00,4.529e+00,2.657e+00,1.113e+01,3.020e+00,2.026e+00,4.870e+00,1.487e+01
Km14,4.011e+04,1.586e+04,1.562e+04,7.393e+03,3.823e+04,5.806e+04,5.455e+04,1.555e+04,2.457e+04,1.321e+05,2.230e+04,1.102e+04,2.188e+04,4.692e+04,5.203e+04,1.726e+04,1.174e+04,2.328e+04,2.979e+04,2.463e+04,3.831e+04,3.090e+04,2.989e+04,2.206e+04,1.307e+04,2.990e+04,3.924e+04,7.242e+04,7.760e+04,3.883e+04,1.707e+04,2.311e+04,2.496e+04,4.802e+04,3.486e+04,2.191e+04,8.502e+04,8.731e+03,1.846e+04,1.820e+05,3.575e+04,6.548e+03,5.059e+04,3.572e+04,3.866e+04,1.112e+04,1.353e+04,5.673e+04,1.490e+05,1.338e+04
V15,3.460e+00,1.740e+00,1.610e+00,2.774e+00,2.019e+00,1.927e+00,1.915e+00,1.801e+00,1.702e+01,1.049e+00,2.948e+00,1.321e+00,1.333e+00,4.048e+00,4.491e+00,2.467e+00,2.784e+00,6.489e+00,9.256e+00,1.192e+00,1.291e+00,8.073e-01,1.646e+00,1.314e+00,1.759e+00,1.571e+00,2.375e+00,4.493e+00,1.865e+00,2.235e+00,2.706e+00,6.913e+00,4.197e+00,4.750e+00,1.712e+00,2.036e+00,5.578e+00,2.365e+00,3.627e+00,2.075e+00,1.541e+00,2.867e+00,5.333e+00,1.134e+00,8.279e+00,9.207e+00,1.902e+00,3.798e+00,4.967e+00,1.840e+00
Km15,6.799e-04,1.161e-03,4.385e-04,6.640e-04,2.558e-03,1.077e-03,3.349e-04,2.542e-03,4.214e-04,3.343e-03,1.683e-03,4.625e-04,1.809e-03,1.767e-03,6.038e-04,1.137e-03,1.355e-03,1.108e-03,1.614e-03,2.271e-03,1.702e-03,7.162e-04,5.427e-04,6.819e-04,9.878e-04,2.103e-03,2.324e-03,3.403e-04,3.704e-04,1.055e-03,1.414e-03,7.098e-04,3.431e-03,1.022e-03,3.290e-03,4.693e-04,6.527e-04,1.416e-03,7.421e-04,7.537e-04,6.496e-04,3.247e-04,1.600e-03,1.172e-03,1.629e-03,3.167e-04,1.556e-03,3.319e-03,1.471e-03,1.897e-03
KimDUSP,1.634e-02,3.256e-02,3.189e-02,4.712e-02,9.996e-02,2.208e-01,3.190e-02,2.769e-02,1.228e-02,6.328e-02,2.439e-02,1.980e-01,4.110e-02,4.191e-02,1.484e-02,2.788e-02,2.343e-02,2.462e-02,1.932e-02,2.562e-02,3.778e-02,2.051e-02,4.245e-02,2.120e-02,1.745e-02,4.730e-02,7.731e-03,3.005e-03,1.260e-02,1.914e-02,2.589e-02,2.754e-02,3.963e-02,1.867e-02,1.137e-02,1.602e-02,1.678e-02,3.734e-02,2.300e-02,2.473e-02,3.347e-02,1.005e-02,2.828e-02,1.868e-02,4.931e-02,2.987e-02,5.080e-02,7.453e-03,6.888e-02,4.512e-02
KexDUSP,6.028e-02,1.090e-01,1.364e-01,1.068e-01,7.346e-02,2.388e-02,2.193e-02,2.318e-02,5.072e-02,1.184e-01,5.309e-02,1.209e-01,3.855e-02,4.840e-02,9.944e-03,2.762e-01,4.431e-02,5.844e-02,1.213e-01,9.474e-02,1.637e-02,4.578e-02,2.351e-02,4.816e-02,6.687e-02,3.707e-02,3.877e-02,2.014e-01,4.649e-02,9.015e-02,2.287e-02,1.185e-01,5.136e-02,7.359e-02,5.565e-02,2.947e-02,1.904e-02,1.601e-01,7.121e-02,1.186e-02,4.853e-02,1.487e-01,3.601e-02,7.425e-02,1.162e-01,1.514e-01,1.193e-02,6.210e-02,1.670e-01,1.195e-01
V20,2.165e-01,4.798e-02,1.343e-01,6.055e-02,5.885e-02,7.939e-02,8.143e-02,9.902e-02,2.034e-02,2.064e-01,2.158e-01,1.579e-01,9.942e-02,3.481e-01,2.449e-01,7.487e-02,1.280e-01,8.108e-02,7.190e-02,1.024e-01,2.109e-01,1.749e-01,7.569e-02,1.575e-01,7.952e-02,1.170e-01,2.185e-01,9.573e-02,1.646e-01,2.445e-01,1.506e-01,1.357e-01,8.769e-02,1.122e-01,1.308e-01,5.407e-02,3.826e-01,4.062e-01,1.278e-01,2.929e-01,3.515e-01,7.546e-02,8.271e-02,1.909e-01,9.973e-02,5.901e-02,1.987e-02,2.859e-01,2.466e-02,1.884e-01
Km20,7.114e+05,1.097e+06,5.014e+05,9.589e+05,2.502e+06,6.235e+05,1.051e+06,4.112e+05,6.717e+05,6.097e+05,3.716e+05,6.359e+05,6.757e+05,6.829e+05,3.294e+05,7.126e+05,7.127e+05,1.150e+06,6.604e+05,6.501e+05,6.918e+05,8.661e+05,3.123e+05,1.195e+06,7.137e+05,7.392e+05,5.669e+05,2.328e+06,7.320e+05,1.341e+06,3.782e+05,1.330e+06,5.563e+05,4.605e+05,7.099e+05,4.046e+05,1.677e+06,6.293e+05,2.868e+05,7.937e+05,2.985e+05,2.117e+05,1.474e+06,1.001e+06,6.474e+05,2.778e+06,2.517e+05,2.022e+05,9.252e+05,1.164e+06
V21,5.199e-03,7.991e-03,2.279e-03,1.978e-03,3.873e-03,6.375e-03,2.446e-03,4.497e-03,3.248e-03,3.960e-02,3.562e-03,6.728e-03,5.467e-03,2.840e-03,3.512e-03,6.559e-03,3.458e-03,2.920e-03,4.616e-02,4.549e-03,1.639e-02,5.876e-03,1.213e-02,4.707e-03,2.014e-03,8.302e-03,1.549e-03,2.139e-02,6.013e-03,5.624e-03,4.526e-03,8.495e-03,5.604e-03,1.366e-03,3.075e-03,5.158e-03,4.335e-02,9.004e-03,5.448e-03,1.158e-02,3.747e-03,5.872e-03,3.094e-03,7.954e-03,1.114e-02,7.893e-03,4.471e-03,9.055e-03,9.788e-03,1.716e-02
Km21,1.485e+03,3.725e+02,3.256e+02,1.701e+02,8.437e+02,2.005e+02,7.094e+02,2.221e+02,1.147e+02,5.506e+02,7.554e+02,2.415e+02,3.088e+02,2.723e+02,4.473e+02,1.069e+03,2.561e+02,3.157e+02,3.427e+02,2.669e+02,2.469e+02,4.172e+02,5.191e+02,3.363e+02,6.048e+02,3.401e+02,3.641e+02,1.799e+03,3.111e+02,2.055e+02,6.909e+01,1.255e+02,1.013e+02,1.390e+02,1.745e+02,4.075e+02,1.195e+02,3.431e+02,2.251e+02,1.730e+02,3.360e+02,3.452e+02,2.408e+02,5.053e+02,1.426e+02,3.893e+02,5.321e+02,3.582e+02,1.331e+03,5.143e+02
V24,2.471e-01,5.318e-01,2.088e-01,3.089e-01,1.827e-01,9.047e-01,1.543e-01,2.865e-01,7.840e-02,4.950e-01,3.163e-01,6.604e-01,4.683e-01,3.134e-01,1.215e-01,2.967e-01,1.468e-01,2.250e-01,8.865e-01,2.748e-01,8.966e-01,3.906e-01,1.785e-01,3.566e-01,2.469e-01,5.329e-01,2.756e-01,2.248e-01,3.554e-01,4.687e-01,2.518e-01,1.558e-01,1.778e-01,7.800e-01,9.004e-02,2.815e-01,8.549e-02,4.489e-01,4.276e-01,5.615e-01,2.436e-01,3.949e-01,1.961e-01,3.436e-01,1.210e+00,2.230e-01,1.536e-01,2.473e-01,2.905e+00,6.153e-01
Km24,1.823e+04,5.977e+04,3.452e+04,4.887e+04,5.866e+04,4.873e+04,3.554e+04,1.357e+04,3.412e+04,6.747e+04,2.480e+04,4.561e+04,1.625e+04,5.107e+04,3.785e+04,3.678e+04,2.516e+04,2.617e+04,1.594e+04,1.795e+04,6.939e+04,2.665e+04,1.350e+04,2.322e+04,2.152e+04,2.952e+04,1.412e+04,1.355e+05,3.388e+04,4.531e+04,5.822e+04,3.219e+04,2.512e+04,4.496e+04,1.280e+04,3.310e+04,1.401e+04,4.241e+04,3.534e+04,3.161e+04,3.090e+04,1.460e+05,2.703e+04,1.208e+04,6.717e+04,2.467e+04,1.927e+04,9.140e+04,6.021e+04,2.991e+04
V25,3.041e+01,2.955e+01,7.703e+00,5.414e+00,7.934e+00,1.530e+01,7.281e+00,2.109e+01,3.272e+00,6.113e+01,1.659e+01,1.347e+01,2.193e+01,2.027e+01,7.573e+00,1.157e+01,6.846e+00,1.590e+01,3.586e+01,1.389e+01,1.191e+01,1.380e+01,9.388e+00,1.081e+01,1.023e+01,2.308e+01,2.775e+01,6.831e+00,1.054e+01,8.706e+00,1.626e+01,5.133e+00,7.590e+00,2.662e+01,7.883e+00,1.961e+01,8.693e+00,2.123e+01,8.332e+00,1.206e+01,3.502e+01,1.152e+01,9.024e+00,1.194e+01,1.625e+01,3.170e+01,1.429e+01,1.191e+01,7.814e+01,1.942e+01
Km25,1.390e+00,2.064e+00,5.462e-01,3.792e-01,4.802e-01,1.600e+00,2.132e+00,9.925e-01,3.243e+00,1.202e+00,1.392e+00,4.253e-01,8.639e-01,1.694e+00,8.366e-01,3.473e+00,7.094e-01,7.589e-01,3.207e+00,1.890e+00,1.010e+00,1.865e+00,3.815e-01,1.333e+00,5.581e-01,1.093e+00,7.545e-01,6.896e+00,6.821e-01,5.827e-01,1.979e+00,5.941e-01,1.622e+00,3.536e+00,6.566e-01,1.282e+00,3.669e+00,1.098e+00,1.142e+00,1.606e+00,7.985e-01,3.121e-01,7.286e-01,2.115e-01,1.270e+00,1.614e+00,5.531e-01,6.475e-01,5.164e+00,2.466e+00
KimRSK,3.606e-02,2.468e-02,3.821e-02,7.779e-02,5.311e-02,4.776e-02,2.349e-02,2.995e-02,1.312e-02,5.915e-02,1.712e-02,3.192e-02,1.944e-02,5.333e-02,4.848e-02,1.907e-01,2.003e-02,2.785e-02,4.837e-02,4.474e-02,1.650e-02,3.060e-02,1.143e-02,2.733e-02,1.425e-02,3.392e-02,5.002e-03,1.194e-02,2.332e-02,2.961e-02,4.589e-02,7.596e-02,3.825e-02,1.765e-02,5.423e-02,1.211e-01,3.347e-02,2.594e-02,1.399e-02,3.476e-02,2.530e-02,2.165e-02,4.197e-02,5.675e-02,6.194e-02,3.132e-02,1.905e-02,5.418e-02,3.469e-02,3.485e-02
KexRSK,9.344e-02,5.319e-02,7.448e-02,4.338e-01,3.347e-02,2.686e-01,1.426e-01,1.674e-01,1.456e-01,2.371e-01,1.810e-01,1.079e-01,1.291e-01,7.415e-02,1.520e-01,4.613e-01,8.059e-02,6.746e-02,4.257e-01,1.666e-01,8.079e-02,1.992e-01,6.809e-02,1.389e-01,5.909e-02,9.227e-02,3.739e-02,4.586e-01,4.800e-02,7.233e-02,1.144e-01,1.084e-01,7.107e-02,8.488e-02,6.318e-02,1.845e-01,2.359e-01,7.219e-02,1.157e-01,3.895e-01,6.054e-02,4.586e-02,1.076e-01,1.303e-01,1.086e-01,4.924e-02,2.825e-02,5.260e-02,2.288e-01,3.728e-01
V27,3.100e+01,2.563e+01,3.722e+01,8.147e+01,5.901e+01,4.611e+01,3.601e+01,3.056e+01,1.307e+01,5.951e+01,2.664e+01,2.814e+01,3.390e+01,3.227e+01,7.326e+01,8.727e+00,2.964e+01,1.652e+01,1.133e+01,9.256e+00,3.368e+01,1.053e+01,4.033e+01,1.274e+01,3.463e+01,9.122e+00,5.730e+01,1.399e+02,2.577e+01,4.538e+01,2.008e+01,3.336e+01,7.939e+00,8.844e+00,1.333e+01,2.213e+01,1.372e+01,2.026e+01,1.897e+01,1.323e+01,3.648e+01,9.474e+01,2.231e+01,1.658e+01,2.328e+01,6.519e+01,2.129e+01,1.560e+01,1.733e+01,4.242e+01
Km27,2.932e+02,5.525e+02,4.374e+02,1.661e+02,2.985e+02,6.017e+02,1.745e+02,2.684e+02,3.422e+02,2.194e+02,2.737e+02,9.833e+02,4.608e+02,2.642e+02,3.745e+02,1.132e+03,4.496e+02,3.520e+02,4.190e+02,2.173e+02,3.293e+02,3.430e+02,1.070e+02,2.715e+02,3.210e+02,6.821e+02,1.716e+02,1.683e+02,6.433e+02,4.589e+02,2.010e+02,1.546e+02,2.797e+02,1.235e+02,1.517e+03,1.593e+03,7.215e+02,1.196e+03,2.388e+02,1.310e+03,2.428e+02,1.421e+03,4.376e+02,1.568e+02,6.512e+02,1.719e+02,3.755e+02,4.497e+02,5.984e+02,4.024e+02
V28,4.871e+00,4.544e+00,7.262e+00,7.091e+00,1.981e+01,1.561e+01,7.240e+00,5.597e+00,3.133e+00,1.698e+00,2.691e+00,2.204e+00,4.726e+00,1.070e+01,7.340e+00,4.312e+00,5.825e+00,2.843e+00,9.726e+00,7.109e+00,8.281e+00,3.076e+00,5.242e+00,5.024e+00,4.907e+00,2.297e+00,4.003e+00,6.998e+00,6.594e+00,1.453e+01,5.050e+00,1.412e+01,6.692e+00,4.704e+00,4.208e+00,2.851e+00,3.445e+00,2.376e+00,4.381e+00,1.731e+00,3.379e+00,1.321e+00,4.402e+00,5.939e+00,1.467e+01,1.778e+01,4.034e+00,1.593e+00,5.257e+00,1.158e+01
Km28,5.990e+01,1.196e+01,2.487e+01,2.395e+01,7.828e+01,2.826e+01,2.131e+01,1.608e+01,1.992e+01,4.176e+01,1.346e+01,9.774e+00,1.635e+01,2.128e+01,1.743e+01,9.434e+00,8.732e+00,1.279e+01,1.803e+01,7.978e+00,1.145e+01,1.472e+01,8.547e+00,1.005e+01,1.123e+01,3.710e+00,8.043e+00,7.864e+01,2.198e+01,9.710e+00,2.731e+01,2.462e+01,1.017e+01,1.040e+01,9.722e+00,1.192e+01,9.456e+00,1.395e+01,1.619e+01,7.367e+00,1.570e+01,7.720e+00,1.267e+01,1.821e+01,7.258e+00,1.322e+01,9.616e+00,1.211e+01,5.830e+01,8.414e+00
V29,1.922e-01,8.689e-01,1.143e-01,3.494e-01,5.140e-01,7.728e-01,1.382e-01,2.054e-01,1.386e-01,1.310e+00,6.285e-01,5.323e-01,4.167e-01,3.821e-01,7.553e-02,5.346e-01,1.940e-01,2.253e-01,1.268e-01,8.236e-01,1.090e-01,7.193e-01,3.563e-01,2.233e-01,5.389e-01,5.214e-01,6.022e-01,2.227e-01,2.526e-01,3.954e-01,2.599e-01,3.206e-01,2.466e-01,1.841e+00,2.689e-01,1.723e-01,3.990e-01,9.005e-01,3.253e-01,5.202e-01,3.429e-01,1.834e-01,2.352e-01,2.274e-01,4.972e-01,2.040e-01,5.389e-01,3.716e-01,5.970e-01,6.914e-01
Km29,1.779e+04,3.537e+04,2.569e+04,2.522e+04,2.635e+04,5.125e+04,1.926e+04,4.652e+04,1.434e+04,5.775e+04,3.220e+04,3.137e+04,1.366e+04,4.158e+04,1.636e+04,3.005e+04,1.204e+04,1.466e+04,3.313e+04,1.075e+04,2.103e+04,2.613e+04,1.820e+04,1.889e+04,1.833e+04,9.745e+03,7.524e+04,1.052e+05,1.835e+04,2.458e+04,4.708e+04,2.921e+04,1.931e+04,6.167e+04,2.100e+04,2.404e+04,5.895e+04,3.368e+04,1.943e+04,1.609e+04,5.359e+04,1.962e+04,1.646e+04,1.314e+04,1.644e+04,3.399e+04,1.218e+04,3.160e+04,6.580e+04,1.966e+04
V30,5.771e+00,1.829e+01,9.499e+00,2.027e+01,1.214e+01,8.788e+00,2.064e+01,1.771e+01,1.009e+01,5.302e+00,2.847e+01,9.355e+00,1.247e+01,1.015e+01,3.129e+01,1.438e+01,1.356e+01,1.418e+01,3.090e+01,6.564e+00,2.180e+01,1.472e+01,8.209e+00,8.817e+00,1.760e+01,1.168e+01,4.092e+00,7.845e+01,2.068e+01,8.286e+00,4.829e+01,2.813e+01,2.102e+01,8.194e+00,8.632e+00,2.264e+01,8.165e+00,1.125e+01,1.051e+01,1.019e+01,9.536e+00,1.060e+01,1.558e+01,1.891e+01,2.378e+01,1.181e+02,5.785e+00,4.027e+01,2.203e+01,2.492e+01
Km30,1.129e+01,2.373e+01,1.916e+01,5.951e+00,4.103e+00,1.833e+01,7.915e+00,8.468e+00,7.658e+00,1.626e+01,1.770e+01,2.746e+01,6.152e+00,1.943e+01,2.135e+01,5.392e+01,2.009e+01,1.438e+01,2.769e+01,7.049e+00,1.314e+01,1.451e+01,6.908e+00,1.929e+01,1.055e+01,4.274e+01,1.296e+01,5.421e+00,1.438e+01,7.372e+01,1.262e+01,1.042e+01,1.262e+01,1.062e+01,5.126e+01,1.065e+01,7.943e+01,1.604e+01,2.520e+01,1.313e+01,1.066e+01,9.932e+00,1.096e+01,2.743e+00,5.000e+01,1.571e+01,1.131e+01,1.060e+01,8.733e+00,3.939e+00
V31,1.237e+00,4.354e-01,8.411e-01,7.863e-02,1.631e+00,1.140e+00,3.072e-01,5.658e-01,3.086e-01,9.072e-01,5.148e-01,7.374e-01,6.627e-01,5.679e-01,6.887e-01,4.066e-01,6.673e-01,7.078e-01,1.361e+00,3.145e-01,3.696e-01,2.830e-01,8.190e-01,5.602e-01,7.123e-01,6.848e-01,2.736e+00,1.304e+00,1.542e+00,4.371e-01,5.427e-01,6.770e-01,3.169e-01,1.053e+00,4.609e-01,3.043e-01,1.388e+00,9.018e-01,6.027e-01,8.442e-01,8.704e-01,5.164e-01,4.239e-01,4.475e-01,3.312e-01,9.982e-01,4.597e-01,4.199e-01,3.076e-01,1.669e-01
Km31,3.643e+02,1.870e+02,3.161e+02,1.496e+02,4.151e+02,6.626e+02,1.476e+02,2.868e+02,1.618e+02,1.125e+02,1.526e+02,2.234e+02,1.386e+02,1.161e+02,1.345e+02,9.685e+01,9.627e+01,1.668e+02,3.499e+02,3.118e+02,3.529e+02,1.212e+02,8.727e+01,6.619e+01,1.100e+02,8.676e+01,1.596e+02,5.235e+01,1.162e+02,1.860e+02,7.860e+01,1.412e+02,4.683e+01,1.458e+02,3.413e+01,1.164e+02,2.457e+02,1.322e+02,1.225e+02,1.970e+02,7.283e+01,6.498e+01,9.709e+01,1.692e+02,3.279e+02,1.876e+02,9.724e+01,2.334e+02,9.075e+01,2.041e+02
n31,1.290e+00,2.149e+00,1.383e+00,2.689e+00,1.696e+00,1.264e+00,1.522e+00,1.607e+00,1.349e+00,1.844e+00,1.707e+00,1.408e+00,1.806e+00,1.919e+00,1.035e+00,1.836e+00,2.040e+00,1.602e+00,1.767e+00,1.742e+00,1.124e+00,1.508e+00,2.006e+00,1.792e+00,1.570e+00,1.598e+00,1.871e+00,1.451e+00,1.512e+00,1.642e+00,1.839e+00,2.130e+00,1.755e+00,2.264e+00,2.703e+00,2.726e+00,1.275e+00,1.461e+00,1.540e+00,1.960e+00,1.941e+00,1.043e+00,2.107e+00,1.293e+00,1.333e+00,1.945e+00,1.508e+00,1.799e+00,1.686e+00,2.034e+00
p32,3.031e-03,3.913e-03,2.211e-03,1.252e-03,1.436e-03,1.067e-03,1.516e-03,1.996e-03,2.382e-03,7.303e-03,1.450e-03,2.284e-03,3.869e-03,3.548e-03,1.482e-03,1.133e-03,1.406e-03,2.198e-03,3.773e-03,4.551e-03,1.899e-03,2.278e-03,1.738e-03,2.879e-03,2.564e-03,6.300e-03,1.679e-03,2.301e-03,2.272e-03,5.535e-03,1.397e-03,2.043e-03,2.868e-03,2.192e-03,3.536e-03,2.450e-03,1.619e-03,2.291e-03,2.394e-03,1.951e-03,1.496e-03,1.451e-02,1.746e-03,1.594e-03,1.702e-03,1.361e-03,7.993e-03,9.702e-04,8.347e-04,1.926e-03
